model_id,downloads,likes,pipeline_tag,task_name,library_name,frameworks,license,arxiv,param_count,size_category,created_at,last_modified
buildborderless/CommunityForensics-DeepfakeDet-ViT,399659,15,image-classification,Image Classification,transformers,"safetensors, transformers",mit,2411.04125,35986562,<100M,2025-02-23T11:03:50.000Z,2026-07-21T23:48:52.000Z
timm/efficientnet_b2.ra_in1k,376245,0,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",apache-2.0,2110.00476,9177562,<100M,2022-12-12T23:56:20.000Z,2025-01-21T18:16:58.000Z
timm/edgenext_small.usi_in1k,361500,6,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",mit,2206.10589,5586832,<100M,2023-04-23T22:43:00.000Z,2025-01-21T18:05:08.000Z
timm/vit_tiny_r_s16_p8_224.augreg_in21k,312331,0,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",apache-2.0,2106.10270,10360403,<100M,2022-12-23T00:34:23.000Z,2025-01-21T19:17:12.000Z
timm/swin_base_patch4_window7_224.ms_in22k_ft_in1k,304724,7,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",mit,2103.14030,88104364,<100M,2023-03-18T04:04:29.000Z,2025-01-21T21:17:42.000Z
timm/vit_small_patch16_224.augreg_in21k_ft_in1k,299434,4,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",apache-2.0,2106.10270,22050664,<100M,2022-12-22T07:54:03.000Z,2025-01-21T19:16:38.000Z
google/vit-large-patch16-224,287506,48,image-classification,Image Classification,transformers,"pytorch, transformers",apache-2.0,2010.11929,,Unknown,2022-03-02T23:29:05.000Z,2022-06-23T07:50:15.000Z
giacomoarienti/nsfw-classifier,232092,54,image-classification,Image Classification,transformers,"pytorch, safetensors, transformers",cc-by-nc-nd-4.0,,85802501,<100M,2023-09-05T12:19:30.000Z,2025-03-26T11:46:25.000Z
timm/vit_tiny_patch16_224.augreg_in21k_ft_in1k,227358,4,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",apache-2.0,2106.10270,5717416,<100M,2022-12-22T07:56:04.000Z,2025-01-21T19:16:52.000Z
timm/efficientnet_b3.ra2_in1k,225144,5,image-classification,Image Classification,timm,"pytorch, safetensors, timm, transformers",apache-2.0,2110.00476,12320528,<100M,2022-12-12T23:56:39.000Z,2025-01-21T18:17:02.000Z
haywoodsloan/ai-image-detector-dev-deploy,222612,10,image-classification,Image Classification,transformers,"safetensors, transformers",,,195206006,100M-1B,2025-01-13T17:43:36.000Z,2025-06-16T20:32:39.000Z
facebook/convnextv2-tiny-1k-224,183075,6,image-classification,Image Classification,transformers,"pytorch, safetensors, transformers",apache-2.0,2301.00808,28635496,<100M,2023-02-17T14:03:53.000Z,2025-02-17T18:40:39.000Z
